Graphtreon,Name,Category,Patrons,Earnings,Range,"Is Nsfw","Facebook Likes","Twitter Followers","Youtube Subscribers","Youtube Videos","Youtube Views"
https://graphtreon.com/creator/izzynobre,Izzy,Podcasts,630,2578.95,month,0,,,,,
https://graphtreon.com/creator/AtheistDebates,"Matt Dillahunty",Video,629,3159.06,Video,0,,,,,
https://graphtreon.com/creator/Trumonz,"Mark Diaz Truman",Games,629,1558.45,issue,0,,,,,
https://graphtreon.com/creator/spoonyexperiment,"Noah Antwiler",Video,623,4655.19,month,0,,,,,
https://graphtreon.com/creator/99vidas,99Vidas,Podcasts,604,2501.21,month,0,,,,,
https://graphtreon.com/creator/Kuvshinov_Ilya,"Kuvshinov Ilya","Drawing & Painting",600,3007.85,week,0,,,,,
https://graphtreon.com/creator/nedroid,"Anthony Clark",Comics,579,1845,month,0,,,,,
https://graphtreon.com/creator/natalydawn,"Nataly Dawn",Music,575,1831.5,song,0,,,,,
https://graphtreon.com/creator/ScathingAtheist,"The Scathing Atheist",Podcasts,574,1409,episode,0,,,,,
https://graphtreon.com/creator/retronauts,Retronauts,Podcasts,571,2666.48,month,0,,,,,
https://graphtreon.com/creator/watchwhatcrappens,"Watch What Crappens",Podcasts,561,866,"Podcast Episode",0,,,,,
https://graphtreon.com/creator/podcastmethod,"Dan Benjamin",Podcasts,553,2582.47,month,0,,,,,
https://graphtreon.com/creator/vortex00,Vortex00,"Adult Games",537,1499,month,1,,,,,
https://graphtreon.com/creator/anaitreload,"AnaitGames y Podcast RELOAD",Video,550,4766,month,0,,,,,
https://graphtreon.com/creator/ocremix,"OverClocked ReMix",Music,517,3016.63,month,0,,,,,
https://graphtreon.com/creator/krisstraub,"Kris Straub",Comics,516,1862,month,0,,,,,
https://graphtreon.com/creator/julianunes,"Julia Nunes",Video,513,1985.84,Video,0,,,,,
https://graphtreon.com/creator/universetoday,"Fraser Cain",Video,502,1823.16,month,0,,,,,
https://graphtreon.com/creator/asmrrequests,"Ally (ASMRRequests)",Video,496,2497.49,month,0,,,,,
https://graphtreon.com/creator/nafeez,"Nafeez Ahmed",Video,495,2327.36,month,0,,,,,
https://graphtreon.com/creator/dayo,Dayo,Video,490,1391.72,month,0,,,,,
https://graphtreon.com/creator/numberphile,Numberphile,Video,488,2378.86,month,0,,,,,
https://graphtreon.com/creator/at4w,"Lewis Lovhaug",Comics,480,2661.4,month,0,,,,,
https://graphtreon.com/creator/ExistentialComics,"Corey Mohler",Comics,480,1320,month,0,,,,,
https://graphtreon.com/creator/rageselect,"Rage Select.com ",Video,471,909.92,"Let's Play Videos",0,,,,,
https://graphtreon.com/creator/dissonancepod,"Cognitive Dissonance Podcast",Podcasts,471,869.14,Podcast,0,,,,,
https://graphtreon.com/creator/jupitersignal,"Jupiter Broadcasting",Podcasts,469,3730.62,month,0,,,,,
https://graphtreon.com/creator/molly,"Molly Lewis",Video,469,2579,month,0,,,,,
https://graphtreon.com/creator/storywonk,StoryWonk,Podcasts,466,1568,month,0,,,,,
https://graphtreon.com/creator/limitedresources,"Limited Resources",Podcasts,459,1108.83,"podcast released. ",0,,,,,
https://graphtreon.com/creator/thedoubleclicks,"The Doubleclicks",Music,466,2216.9,video,0,,,,,
https://graphtreon.com/creator/Whatthetech,"What The Tech",Podcasts,456,581.18,"Episode of What The Tech",0,,,,,
https://graphtreon.com/creator/aronra,"Aron Ra",Writing,453,2520.41,video,0,,,,,
https://graphtreon.com/creator/prettymuchit,"Pretty Much It",Video,452,4283,month,0,,,,,
https://graphtreon.com/creator/ensider,"EN World EN5ider",Games,463,1300,"supplement or adventure",0,,,,,
https://graphtreon.com/creator/tesladyne,Tesladyne,Comics,457,2473,month,0,,,,,
https://graphtreon.com/creator/keefknight,"Keith Knight",Comics,448,2312.18,month,0,,,,,
https://graphtreon.com/creator/nerfnow,"Josué Pereira",Comics,445,2293.53,month,0,,,,,
https://graphtreon.com/creator/swordandlaser,"Veronica Belmont and Tom Merritt",Video,448,1059.15,episode,0,,,,,
https://graphtreon.com/creator/weirdthings,"Weird Things",Podcasts,441,640.13,Episode,0,,,,,
https://graphtreon.com/creator/user?u=51338,"Carlinhos RealidadeAmericana",,437,2763.99,,0,,,,,
https://graphtreon.com/creator/tac,"The Angry Chicken",Podcasts,436,2085,"TAC-prime every Tuesday",0,,,,,
https://graphtreon.com/creator/VideoGamer,VideoGamer.com,Games,432,4587,month,0,,,,,
https://graphtreon.com/creator/Epidiah,Epidiah,Games,432,1700.63,issue,0,,,,,
https://graphtreon.com/creator/doxygames,Doxy,"Adult Games",428,1935.5,month,1,,,,,
https://graphtreon.com/creator/kurtjmac,KurtJMac,Video,425,4351.72,month,0,,,,,
https://graphtreon.com/creator/DarkMatter2525,DarkMatter2525,Animation,426,1960.34,video,0,,,,,
https://graphtreon.com/creator/drewtoothpaste,"Drew Toothpaste",Writing,422,2347.08,month,0,,,,,
https://graphtreon.com/creator/ThatOneVideoGamer,"That One Video Gamer",Video,416,1668,month,0,,,,,
https://graphtreon.com/creator/MrSundayMovies,"Mr Sunday Movies",Video,416,1497.7,month,0,,,,,
