slug,patreon_url,keywords_count,keywords_found,Graphtreon,Name,Category,Patrons,Earnings,Range,Is Nsfw,Facebook Likes,Twitter Followers,Youtube Subscribers,Youtube Videos,Youtube Views
andrewpstreet,https://www.patreon.com/andrewpstreet/overview,1,journalist,https://graphtreon.com/creator/andrewpstreet,Andrew P Street,Music,737,,month,0,6581,7061,,,
EABT,https://www.patreon.com/EABT/overview,1,journalist,https://graphtreon.com/creator/EABT,EABT,Writing,695,2002.33,month,0,,20614,179231,182,25151824
jseattle,https://www.patreon.com/jseattle/overview,2,journalism;journalist,https://graphtreon.com/creator/jseattle,CHS,Writing,691,3053.36,month,0,15271,49611,,,
digibro,https://www.patreon.com/digibro/overview,1,journalism,https://graphtreon.com/creator/digibro,Digibro,Video,677,2983.99,month,0,858,25203,350105,314,45308018
DistrictSentinel,https://www.patreon.com/DistrictSentinel/overview,1,journalist,https://graphtreon.com/creator/DistrictSentinel,The District Sentinel,Podcasts,672,3542.66,month,0,1973,,,,
WeAreChange,https://www.patreon.com/WeAreChange/overview,2,reporter;reporting,https://graphtreon.com/creator/WeAreChange,WeAreChange,Video,648,,month,0,592460,74850,517528,1748,109667507
sanetertv,https://www.patreon.com/sanetertv/overview,1,reporting,https://graphtreon.com/creator/sanetertv,Sa Neter Tv,Video,566,,month,0,,,629,30,346807
malinbot,https://www.patreon.com/malinbot/overview,1,journalism,https://graphtreon.com/creator/malinbot,Malin Bot,,610,3058.33,month,0,,,44934,1199,13357255
vrengames,https://www.patreon.com/vrengames/overview,1,reporting,https://graphtreon.com/creator/vrengames,Vren,Adult Games,618,2269.88,month,1,,,,,
lauriepenny,https://www.patreon.com/lauriepenny/overview,4,journalism;journalist;reporter;reporting,https://graphtreon.com/creator/lauriepenny,Laurie Penny,Writing,621,4112.32,month,0,19324,175355,,,
studyhall,https://www.patreon.com/studyhall/overview,4,journalism;journalist;reporter;investigative,https://graphtreon.com/creator/studyhall,Study Hall,Podcasts,630,,month,0,235,1044,,,
spieleveteranen,https://www.patreon.com/spieleveteranen/overview,1,journalist,https://graphtreon.com/creator/spieleveteranen,Lenhardt & Langer,Podcasts,609,2763.75,month,0,722,5662,,,
steamspy,https://www.patreon.com/steamspy/overview,1,journalist,https://graphtreon.com/creator/steamspy,Sergey Galyonkin,Games,585,8568.87,month,0,,34931,,,
SIFTD,https://www.patreon.com/SIFTD/overview,1,journalist,https://graphtreon.com/creator/SIFTD,SIFTD,Games,577,4679.56,month,0,633,1948,14450,318,1719194
roamingmillennial,https://www.patreon.com/roamingmillennial/overview,1,journalist,https://graphtreon.com/creator/roamingmillennial,Roaming Millennial,Video,565,,month,0,,81333,263313,141,19288330
endtimesnewsreport,https://www.patreon.com/endtimesnewsreport/overview,4,journalist;reporting;investigative;investigation,https://graphtreon.com/creator/endtimesnewsreport,Jake Morphonios,Video,546,3317.38,month,0,29594,6970,148339,88,2257242
remainiacscast,https://www.patreon.com/remainiacscast/overview,1,reporting,https://graphtreon.com/creator/remainiacscast,Remainiacs,Podcasts,559,,month,0,811,,,,
JenniferHofmann,https://www.patreon.com/JenniferHofmann/overview,2,journalism;investigative,https://graphtreon.com/creator/JenniferHofmann,Jennifer Hofmann,Writing,505,2720,month,0,,8683,,,
betweenrounds,https://www.patreon.com/betweenrounds/overview,1,journalist,https://graphtreon.com/creator/betweenrounds,Between Rounds Radio,Podcasts,494,,month,0,,,,,
templininstitute,https://www.patreon.com/templininstitute/overview,1,investigation,https://graphtreon.com/creator/templininstitute,The Templin Institute,Video,520,2312.62,month,0,1791,1675,97078,58,4775796
deleteyouraccount,https://www.patreon.com/deleteyouraccount/overview,1,journalist,https://graphtreon.com/creator/deleteyouraccount,Delete Your Account,Podcasts,478,2090.8,month,0,858,9838,,,
sirota,https://www.patreon.com/sirota/overview,6,journalism;journalist;reporter;reporting;investigative;investigation,https://graphtreon.com/creator/sirota,David Sirota,Podcasts,472,,month,0,9344,109031,,,
sandiegogo,https://www.patreon.com/sandiegogo/overview,1,reporting,https://graphtreon.com/creator/sandiegogo,SanDiegoGO,Video,432,,month,0,,,,,
medyascopetv,https://www.patreon.com/medyascopetv/overview,2,journalism;journalist,https://graphtreon.com/creator/medyascopetv,Medyascope.tv,Video,437,3245.59,month,0,13942,73254,31152,8161,17995278
hagmannreport,https://www.patreon.com/hagmannreport/overview,1,investigation,https://graphtreon.com/creator/hagmannreport,The Official Hagmann Report,,463,,month,0,21289,17975,118536,2226,18658896
nafeez,https://www.patreon.com/nafeez/overview,5,journalism;journalist;reporter;reporting;investigative,https://graphtreon.com/creator/nafeez,Nafeez Ahmed,Video,451,1732.03,month,0,10388,70778,,,
girlclumsy,https://www.patreon.com/girlclumsy/overview,1,journalist,https://graphtreon.com/creator/girlclumsy,Natalie,Games,461,749.82, Recap,0,2037,5757,160,171,191915
ryandawson,https://www.patreon.com/ryandawson/overview,2,journalism;reporting,https://graphtreon.com/creator/ryandawson,Ry Dawson,Video,436,2687.38,month,0,,4611,37307,2190,11889349
