patreon_url,dest_name,error
https://www.patreon.com/gibslythe/overview,datadump/patreon/overviews/g/gibslythe.html,302
https://www.patreon.com/oliviacole/overview,datadump/patreon/overviews/o/oliviacole.html,302
https://www.patreon.com/Tainted_Elysium/overview,datadump/patreon/overviews/t/Tainted_Elysium.html,404
https://www.patreon.com/lovelyzkelly/overview,datadump/patreon/overviews/l/lovelyzkelly.html,302
https://www.patreon.com/artofkace/overview,datadump/patreon/overviews/a/artofkace.html,302
https://www.patreon.com/kekkekekeke/overview,datadump/patreon/overviews/k/kekkekekeke.html,302
https://www.patreon.com/Kerrycosplay/overview,datadump/patreon/overviews/k/Kerrycosplay.html,302
https://www.patreon.com/matthewlaiart/overview,datadump/patreon/overviews/m/matthewlaiart.html,302
https://www.patreon.com/hftf/overview,datadump/patreon/overviews/h/hftf.html,302
https://www.patreon.com/Downbelowthereservoir/overview,datadump/patreon/overviews/d/Downbelowthereservoir.html,302
https://www.patreon.com/STRANGE_Ì ONS/overview,datadump/patreon/overviews/s/STRANGE_Ì ONS.html,404
https://www.patreon.com/fntsmn/overview,datadump/patreon/overviews/f/fntsmn.html,302
https://www.patreon.com/Sararos/overview,datadump/patreon/overviews/s/Sararos.html,302
https://www.patreon.com/twoclusters/overview,datadump/patreon/overviews/t/twoclusters.html,302
https://www.patreon.com/3Principles_Neuroscience_Consciousness/overview,datadump/patreon/overviews/3/3Principles_Neuroscience_Consciousness.html,404
https://www.patreon.com/Igiveyoulemons/overview,datadump/patreon/overviews/i/Igiveyoulemons.html,302
https://www.patreon.com/hype_expert/overview,datadump/patreon/overviews/h/hype_expert.html,302
https://www.patreon.com/saturdaymourningcartoons/overview,datadump/patreon/overviews/s/saturdaymourningcartoons.html,302
https://www.patreon.com/rockingwithrobby/overview,datadump/patreon/overviews/r/rockingwithrobby.html,404
https://www.patreon.com/VoidstoneCreative/overview,datadump/patreon/overviews/v/VoidstoneCreative.html,302
https://www.patreon.com/ashleynicholsart/overview,datadump/patreon/overviews/a/ashleynicholsart.html,302
https://www.patreon.com/livingunshackled/overview,datadump/patreon/overviews/l/livingunshackled.html,404
https://www.patreon.com/OhHeyDJ/overview,datadump/patreon/overviews/o/OhHeyDJ.html,302
https://www.patreon.com/tkutv/overview,datadump/patreon/overviews/t/tkutv.html,302
https://www.patreon.com/artistarose/overview,datadump/patreon/overviews/a/artistarose.html,404
https://www.patreon.com/bumblebirb/overview,datadump/patreon/overviews/b/bumblebirb.html,404
https://www.patreon.com/FatDraolf/overview,datadump/patreon/overviews/f/FatDraolf.html,302
https://www.patreon.com/TipsterGaming/overview,datadump/patreon/overviews/t/TipsterGaming.html,302
https://www.patreon.com/luxlingopodcast/overview,datadump/patreon/overviews/l/luxlingopodcast.html,302
https://www.patreon.com/itasan2_ShowSimInfo/overview,datadump/patreon/overviews/i/itasan2_ShowSimInfo.html,302
https://www.patreon.com/starmike/overview,datadump/patreon/overviews/s/starmike.html,302
https://www.patreon.com/MatthewNeidig/overview,datadump/patreon/overviews/m/MatthewNeidig.html,404
https://www.patreon.com/hellstarplus/overview,datadump/patreon/overviews/h/hellstarplus.html,302
https://www.patreon.com/zediforder/overview,datadump/patreon/overviews/z/zediforder.html,302
https://www.patreon.com/HiMyNameIsEdson/overview,datadump/patreon/overviews/h/HiMyNameIsEdson.html,302
https://www.patreon.com/thehopelessromantic/overview,datadump/patreon/overviews/t/thehopelessromantic.html,404
https://www.patreon.com/lostshade/overview,datadump/patreon/overviews/l/lostshade.html,302
https://www.patreon.com/OverEnglishMan/overview,datadump/patreon/overviews/o/OverEnglishMan.html,302
https://www.patreon.com/lerinalta/overview,datadump/patreon/overviews/l/lerinalta.html,302
https://www.patreon.com/katsudeku/overview,datadump/patreon/overviews/k/katsudeku.html,302
https://www.patreon.com/bellabullets13/overview,datadump/patreon/overviews/b/bellabullets13.html,302
https://www.patreon.com/gladzy/overview,datadump/patreon/overviews/g/gladzy.html,302
https://www.patreon.com/courtneygodbey/overview,datadump/patreon/overviews/c/courtneygodbey.html,302
https://www.patreon.com/kevinlucia/overview,datadump/patreon/overviews/k/kevinlucia.html,302
https://www.patreon.com/hannasedai/overview,datadump/patreon/overviews/h/hannasedai.html,404
https://www.patreon.com/dahaekai/overview,datadump/patreon/overviews/d/dahaekai.html,302
https://www.patreon.com/noncompliantspace/overview,datadump/patreon/overviews/n/noncompliantspace.html,302
https://www.patreon.com/Fateandfables/overview,datadump/patreon/overviews/f/Fateandfables.html,302
https://www.patreon.com/kumogakureschool/overview,datadump/patreon/overviews/k/kumogakureschool.html,404
